movie;year;rating;directors;actors
Hotel Rwanda;2004;8.0;Terry George;['Don Cheadle', 'Sophie Okonedo']
Amores Perros;2000;8.0;Alejandro G. Iñárritu;['Emilio Echevarría', 'Gael García Bernal']
Andrei Rublev;1966;8.0;Andrei Tarkovsky;['Anatoliy Solonitsyn', 'Ivan Lapikov']
Gangs of Wasseypur;2012;8.0;Anurag Kashyap;['Manoj Bajpayee', 'Richa Chadha']
Rocky;1976;8.0;John G. Avildsen;['Sylvester Stallone', 'Talia Shire']
Monsters, Inc.;2001;8.0;Pete Docte;['Billy Crystal', 'John Goodman']
Nausicaä of the Valley of the Wind;1984;8.0;Hayao Miyazak;['Sumi Shimamoto', 'Mahito Tsujimura']
Rebecca;1940;8.0;Alfred Hitchcock;['Laurence Olivier', 'Joan Fontaine']
Rififi;1955;8.0;Jules Dassin;['Jean Servais', 'Carl Möhner']
Rang De Basanti;2006;8.0;Rakeysh Omprakash Mehra;['Aamir Khan', 'Soha Ali Khan']
Before Sunset;2004;8.0;Richard Linklate;['Ethan Hawke', 'Julie Delpy']
In the Mood for Love;2000;8.0;Kar-Wai Wong;['Tony Chiu-Wai Leung', 'Maggie Cheung']
Paris, Texas;1984;8.0;Wim Wenders;['Harry Dean Stanton', 'Nastassja Kinski']
Portrait of a Lady on Fire;2019;8.0;Céline Sciamma;['Noémie Merlant', 'Adèle Haenel']
It Happened One Night;1934;8.0;Frank Capra;['Clark Gable', 'Claudette Colbert']
The Invisible Guest;2016;8.0;Oriol Paulo;['Mario Casas', 'Ana Wagener']
The Help;2011;8.0;Tate Taylo;['Emma Stone', 'Viola Davis']
Drishyam;2015;8.0;Nishikant Kamat;['Ajay Devgn', 'Shriya Saran']
The Battle of Algiers;1966;8.0;Gillo Pontecorvo;['Brahim Hadjadj', 'Jean Martin']
A Silent Voice: The Movie;2016;8.0;Naoko Yamada;['Miyu Irino', 'Saori Hayami']
Tangerines;2013;8.0;Zaza Urushadze;['Lembit Ulfsak', 'Elmo Nüganen']
The Princess Bride;1987;8.0;Rob Reine;['Cary Elwes', 'Mandy Patinkin']
Neon Genesis Evangelion: The End of Evangelion;1997;8.0;Hideaki Anno;['Megumi Ogata', 'Megumi Hayashibara']
